Heading,URL
"Plötsligt avbryts Trump: ”Ut, ut!”",/tv/nyheter/varlden/trumps-presskonferens-avbryts-plotsligt/
Kapade flygplan – sköts av passagerare,/tv/nyheter/varlden/veteran-kapade-flygplan-skots-av-passagerare/
Ursinnig turist tar piska – jagar åsneplågaren,/tv/nyheter/varlden/ursinnig-turist-tar-piska-jagar-asneplagaren/
Börjar sjunga – då tystnar Trump,/tv/nyheter/varlden/ovantade-tilltaget-tystar-trump/
Putins ord om Hamas inför friad gisslan,/tv/nyheter/varlden/putin-infor-friad-gisslan-ge-hamas-tacksamhet/
Här spårar pranket mot de nygifta ur,/tv/nyheter/varlden/har-sparar-pranket-mot-de-nygifta-ur/
Putins dödliga attack – mot lägenhetshus,/tv/nyheter/varlden/putins-dodliga-attack-mot-lagenhetshus/
Smakar ”krigskaffet” – reaktionen: ”Urin?”,/tv/nyheter/sverige/smakar-krigskaffet-reaktionen-urin/
Trump säker: ”Det blir avtal med EU”,/tv/nyheter/varlden/trump-saker-det-blir-avtal-med-eu/
JUST NU: Deportationer stoppas,https://www.expressen.se/nyheter/expressen-direkt/?post=87aa038c-120d-4b53-8074-4798ffc2166e
JUST NU: Man kastade sten,https://www.expressen.se/nyheter/expressen-direkt/?post=42195b30-7473-424c-87f6-1882de2651dd
USA kan erkänna Putins annektering,/nyheter/varlden/usa-kan-erkanna-rysslands-annektering-av-krim/
Elon Musks plan med sitt ”harem”,/nyheter/varlden/elon-musks-plan-radda-varlden-med-sitt-harem/
Trump plötsligt avbruten: ”Ut!”,https://www.expressen.se/tv/nyheter/varlden/trumps-presskonferens-avbryts-plotsligt
Ebba Busch: Jag var rädd för att bytas ut,/nyheter/sverige/ebba-busch-jag-var--radd-for-att-bli-utbytt/
Gästernas ilska – på ”White lotus”-hotellet,/nyheter/varlden/har-ar-white-lotus-hotellet-alla-pratar-om/
Helikopter lyfter med idolen – gör det galna,/tv/nyheter/varlden/helikopter-lyfter-med-idolen-gor-det-galna/
Kapade flygplanet – sköts av passagerare,https://www.expressen.se/tv/nyheter/varlden/veteran-kapade-flygplan-skots-av-passagerare
Turisten tar piska – jagar åsneplågaren,/tv/nyheter/varlden/ursinnig-turist-tar-piska-jagar-asneplagaren/
Här spårar skämtet mot de nygifta ur,/tv/nyheter/varlden/har-sparar-pranket-mot-de-nygifta-ur/
Rovdjurets köttfest fångas i SVT-succén,/tv/nyheter/sverige/skildras-i-svt-succen-slukas-av-rovdjur-live/
